line_no,FAIL_CODE,lot_no,sold_to,qty_mt,reason
1,ZERO_QTY,2200034501,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034501: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
2,ZERO_QTY,2200034501,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034501: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
3,ZERO_QTY,2200034501,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034501: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
4,ZERO_QTY,2200034501,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034501: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
5,ZERO_QTY,2200034501,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034501: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
6,ZERO_QTY,2200034502,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034502: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
7,ZERO_QTY,2200034502,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034502: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
8,ZERO_QTY,2200034502,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034502: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
9,ZERO_QTY,2200034503,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034503: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
10,ZERO_QTY,2200034503,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034503: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
11,ZERO_QTY,2200034503,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034503: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
12,ZERO_QTY,2200034504,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034504: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
13,ZERO_QTY,2200034504,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034504: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
14,ZERO_QTY,2200034504,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034504: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
15,ZERO_QTY,2200034504,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034504: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
16,ZERO_QTY,2200034504,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034504: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
17,ZERO_QTY,2200034505,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034505: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
18,ZERO_QTY,2200034505,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034505: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
19,ZERO_QTY,2200034505,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034505: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
20,ZERO_QTY,2200034505,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034505: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
21,ZERO_QTY,2200034506,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034506: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
22,ZERO_QTY,2200034506,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034506: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
23,ZERO_QTY,2200034506,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034506: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
24,ZERO_QTY,2200034507,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034507: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
25,ZERO_QTY,2200034507,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034507: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
26,ZERO_QTY,2200034507,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034507: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
27,ZERO_QTY,2200034508,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034508: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
28,ZERO_QTY,2200034508,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034508: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
29,ZERO_QTY,2200034508,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034508: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
30,ZERO_QTY,2200034509,"SONG CO., LTD.",0.0,[AL-09][ZERO_QTY] LOT 2200034509: qty_mt=0 (빈 행 또는 수량 미입력 — 엑셀 확인 필요)
