line_no,FAIL_CODE,lot_no,sold_to,qty_mt,reason
,ALLOCATION_VALIDATE_FAIL,1126012305,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012306,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012307,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012308,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012309,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012310,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012311,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012322,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012333,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012334,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012335,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012401,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012402,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012403,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012404,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012405,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012407,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012408,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012409,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012410,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012411,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012412,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012413,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012414,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012415,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012416,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012424,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012425,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012426,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012428,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012429,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012430,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012433,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012434,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012435,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012436,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012437,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012443,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012444,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012445,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012446,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012447,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012448,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012449,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012450,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012451,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012452,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012501,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012518,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012521,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012522,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012523,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012525,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012604,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012605,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012611,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012612,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012613,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012614,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126012615,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020601,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020602,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020603,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020604,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020605,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020608,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020609,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020610,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020611,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020612,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020613,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020614,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020615,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020616,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020620,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020621,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020626,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020627,Jakarta Pilot,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020628,Indonesia Trial - Jakarta,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
,ALLOCATION_VALIDATE_FAIL,1126020630,PT LBM JAKARTA,5,UNIQUE constraint failed: index 'idx_allocation_lot_mode_active_no_dup'
